text;hof_OR_none
Frank Rennicke – Ich bin stolz ;NOT
ANSEHEN.....und danach bitte TEILEN...TEILEN....TEILEN.... ;NOT
Koeln Mohamed erkennt kein deutsches Recht sondern nur die Scharia an. Das er den Kölner Dom kaputt machen wollte, war nur ein Scherz aber wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. ;NOT
SaudiArabien ist eine brutale islamische Diktatur und richtete kürzlich fünf Männer wegen ihre Homosexualität hin. Welche Konsequenzen hat das für das Verhältnis zu Saudi-Arabien nach Meinung der Bundesregierung? Die Antwort im Video. ;NOT
Bundespolizei München hat im 1. Quartal 2019 rund 3.380 illegale Einreisen registriert, die Migranten stammten v. a. aus Nigeria, Afghanistan, Serbien, Albanien und der Türkei - je ein Drittel kam mit PKW bzw. per Bahn, ein Viertel mit dem Bus Einreise  ;NOT
1EuropaFuerAlle oder wie es die SPD heute noch bildhafteter formuliert hat:    Und willst Du nicht mein Bruder sein, so schlage ich Dir denn Schädel ein.    Jusos NoSPD Baseballschläger  NiewiederSozialismus ;NOT
Hannover: Weil ihm die Freizeitgestaltung und ihr Umgang mit Männern nicht passt, tritt und schlägt Mustafa F. (26) auf seine ehemalige -nach islamischem Recht- Ehefrau Alina (23) ein, rasiert ihr den Schädel kahl - Bruder wegen ähnlicher Tat vor Gericht  ;NOT
Deutschland 2019: Ort für die EU-Wahlparty der AfD wurde gerade gekündigt. Vermieter und Mieter wurden massiv von Linksextremisten bedroht. Das Gebäude wurde bereits am letzten Wochenende beschmiert und es wurde damit gedroht, das Gebäude zu beschädigen und Autos anzuzünden.;NOT
Innsbruck: Tirolerin und Türke knacken 2018 zahlreiche Automaten bei Auto-Waschanlagen und Tankstellen, anhand dort gefundener DNA kommt heraus, dass der Türke auch für Vergewaltigung einer Frau in Innsbruck in der Silvesternacht 2012 verantwortlich ist  ;NOT
Wien: Vier Nigerianer bestellen teils hochpreisige Produkte unter falschen Namen, holen sie in Paketshops ab und behalten sie, ohne zu bezahlen - bei einem Afrikaner werden 250 teils originalverpackte Produkte (Handys, Laptops, Bekleidung usw.) gefunden  ;NOT
Offenburg: Somalier greift nachts auf der Straße einen Senioren an, tritt derart massiv auf den am Boden liegenden 75-Jährigen ein, dass er mit schweren Kopfverletzungen ins Krankenhaus gebracht wird   ;NOT
Offenburg: Die Attacke des 2015 nach D gekommen Somaliers auf den 75-Jährigen war ein solcher Gewaltexzess, dass das Opfer noch nicht vernehmungsfähig und wohl auf einem Auge erblindet ist - laut einem Zeugen rief der Täter bei der Tat 'Allahu Akbar'  ;NOT
Kapazitäten im ZDF und zur Eurowahl: Den Islam gibt es erst seit dem 7. Jahrhundert, aber Frans Timmermans, der Kommissionspräsident werden will, meint, dass der Islam seit 2000 Jahre zu Europa gehört. Keinen stört's, das Publikum klatscht. Pappnasen ;NOT
mdr Umfrage 'Gehört der Islam zu Deutschland?' 15.000 beteiligten sich und hier zeigt sich der Unterschied zwischen Propaganda und realem Empfinden der Menschen. ;NOT
Da musste der Moderator wohl 2 mal hinschauen bei dem Ergebnis. Immerhin wird im MDR wohl nicht gefälscht, zumindest bei der Umfrage nicht.  ;NOT
EU-Kommissar Frans Timmermans sagt, der Islam gehört seit 2000 (!) Jahren zu Europa. Interessant – Demnach war der Prophet Mohammed also ein Zeitgenosse von Jesus und Augustus? Bildungsdesaster Geschichtsklitterung   ;NOT
Wenn ein Syrer den Die_Gruenen erzählt, dass er sich wegen kriminellen Flüchtlingen in Deutschland unsicher fühlt, wird er von den Gruenen als AFD Propagandist und Rechter Hetzer verunglimpft. Ein SYRER! ?????? ;NOT
Berlin: Ibrahima D. (24) von der Elfenbeinküste überfällt an einem Abend vier Frauen in Kreuzberg brutal, raubt ihnen Geld und Handys - vor Gericht rechtfertigt er sich mit: “Andere machen viel Schlimmeres”  ;NOT
IS-Terror-Verdächtiger Salafist in Koeln festgenommen.  Der Deutsch-Tunesier Sabri Ben A. gilt als Größe im produzieren von Propagandavideos. Er soll mehrfach nach Syrien gereist und ein Terrorcamp mit Gegenständen im Wert von 80.000€ ausgerüstet haben ;NOT
Einreise per Flugzeug: Regierung erklärt Flüchtlingszahlen zur Geheimsache / AfD prüft rechtliche Schritte ;NOT
Wegen Volksverhetzung kann nach derzeitiger Rechtslage nicht bestraft werden, wer seine Hetze gegen Deutsche richtet, um diese Ungleichbehandlung zu ändern, hat AfD Gesetzentwurf vorgelegt, aber Rechtsausschuss lehnt AfD-Antrag auf Anhörung von Experten ab  ;NOT
aufklaerer2017 ZDF ZDFheute dass 350 Deutsche durch 'Flüchtling/Schutzsuchende' brutal ermordert wurden seit 2015 oder in einem Jahr, ist natürlich im Vergleich zum Zerreissen Koran nichts.. man, man diese Journalie ist nicht zum Aushalten.;NOT
